Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Utilities,Chrome 114.0.0.0,,,2023-07-03 10:51:11,2023-07-03 10:57:56,6m - 45.536s,PASSED
,,,,,,,
Test Cases/Login,Chrome 114.0.0.0,,,2023-07-03 10:51:11,2023-07-03 10:51:18,6.967s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-03 10:51:11,2023-07-03 10:51:14,2.407s,PASSED
"navigateToUrl(""https://cmiti-tst.outsystemsenterprise.com/AccountingSystem/Login"")",Chrome 114.0.0.0,,,2023-07-03 10:51:14,2023-07-03 10:51:14,0.718s,PASSED
"setText(findTestObject(""Object Repository/Manage Role/Page_Login/input_Sign-in continue session_Input_Username""), ""Jonna Rili"")",Chrome 114.0.0.0,,,2023-07-03 10:51:14,2023-07-03 10:51:17,2.306s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Manage Role/Page_Login/input_Sign-in continue session_Input_Password""), ""iFGeFYmXIrU6ruIopQUS+w=="")",Chrome 114.0.0.0,,,2023-07-03 10:51:17,2023-07-03 10:51:17,0.680s,PASSED
"click(findTestObject(""Object Repository/Manage Role/Page_Login/button_Login""))",Chrome 114.0.0.0,,,2023-07-03 10:51:17,2023-07-03 10:51:18,0.548s,PASSED
,,,,,,,
Test Cases/Manage Role,Chrome 114.0.0.0,,,2023-07-03 10:51:18,2023-07-03 10:57:56,6m - 38.339s,PASSED
"click(findTestObject(""Object Repository/Manage Role/Page_Home Page/div_Report_osui-accordion-item__icon osui-a_d9ee91""))",Chrome 114.0.0.0,,,2023-07-03 10:51:18,2023-07-03 10:51:20,2.237s,PASSED
"click(findTestObject(""Object Repository/Manage Role/Page_Home Page/div_Report_osui-accordion-item__icon osui-a_d9ee91""))",Chrome 114.0.0.0,,,2023-07-03 10:51:20,2023-07-03 10:51:51,30.193s,PASSED
"click(findTestObject(""Object Repository/Manage Role/Page_Home Page/div_Utilities""))",Chrome 114.0.0.0,,,2023-07-03 10:51:51,2023-07-03 10:52:21,30.180s,PASSED
"click(findTestObject(""Object Repository/Manage Role/Page_Home Page/div_Utilities_1""))",Chrome 114.0.0.0,,,2023-07-03 10:52:21,2023-07-03 10:52:51,30.201s,PASSED
"click(findTestObject(""Object Repository/Manage Role/Page_Home Page/a_Manage Roles""))",Chrome 114.0.0.0,,,2023-07-03 10:52:51,2023-07-03 10:53:21,30.237s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Manage Role/Page_Manage Roles/select_---Select---AdministratorAuditorCash_5bdd56""), ""0"", true)",Chrome 114.0.0.0,,,2023-07-03 10:53:21,2023-07-03 10:54:52,1m - 31.044s,PASSED
"click(findTestObject(""Object Repository/Manage Role/Page_Manage Roles/button_Create Modules""))",Chrome 114.0.0.0,,,2023-07-03 10:54:52,2023-07-03 10:55:23,30.341s,PASSED
"click(findTestObject(""Object Repository/Manage Role/Page_Manage Roles/i_CARD MRI Information Technology Inc_icon _9075e9""))",Chrome 114.0.0.0,,,2023-07-03 10:55:23,2023-07-03 10:55:53,30.223s,PASSED
"click(findTestObject(""Object Repository/Manage Role/Page_Manage Roles/span_Generate List""))",Chrome 114.0.0.0,,,2023-07-03 10:55:53,2023-07-03 10:56:23,30.312s,PASSED
"click(findTestObject(""Object Repository/Manage Role/Page_Manage Roles/span_Back to Manage Role Page""))",Chrome 114.0.0.0,,,2023-07-03 10:56:23,2023-07-03 10:56:25,1.385s,PASSED
"click(findTestObject(""Object Repository/Manage Role/Page_Manage Roles/i_Series Number_icon fa fa-th fa-2x""))",Chrome 114.0.0.0,,,2023-07-03 10:56:25,2023-07-03 10:56:55,30.312s,PASSED
"click(findTestObject(""Object Repository/Manage Role/Page_Manage Roles/span_Logout""))",Chrome 114.0.0.0,,,2023-07-03 10:56:55,2023-07-03 10:57:25,30.227s,PASSED
"click(findTestObject(""Object Repository/Manage Role/Page_Manage Roles/button_Logout""))",Chrome 114.0.0.0,,,2023-07-03 10:57:25,2023-07-03 10:57:55,30.253s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-03 10:57:55,2023-07-03 10:57:56,0.824s,PASSED
